,Birth_Country,Email,First_Name,Income,Job,Last_name,Loan_Approved,SSN
0,Bosnia and Herzegovina,emily15@whitehead.com,Melissa,109957,Telecommunications researcher,Miranda,FALSE,129-41-7773
1,Belgium,ronald87@yahoo.com,Curtis,301884,Animal nutritionist,Garrett,TRUE,212-74-3976
2,United Kingdom,hannah29@gmail.com,Connor,341584,English as a foreign language teacher,Steele,FALSE,024-35-3834
3,Kiribati,derrick59@hotmail.com,Adam,448293,"Surveyor, commercial/residential",Newman,FALSE,157-82-4486
4,Malaysia,wendycarpenter@walker-knox.com,Jared,53621,Drilling engineer,Mann,TRUE,199-56-2824
5,Austria,hcisneros@hotmail.com,Stephen,195746,Commercial/residential surveyor,Smith,FALSE,856-86-2689
6,Cyprus,cookdawn@harrington.com,Alexandria,121200,"Designer, graphic",Berry,TRUE,526-65-0200
7,Cuba,robertrodriguez@gmail.com,Natasha,68126,Chief Strategy Officer,Kemp,TRUE,246-26-3710
8,Western Sahara,lfreeman@cervantes.biz,James,199588,"Engineer, maintenance",Taylor,TRUE,868-13-4858
9,Sudan,bryan65@booker.info,Briana,77960,"Psychotherapist, child",Swanson,TRUE,102-09-9465
10,Armenia,jennifer24@lynch-burch.com,Alexandra,75778,Water engineer,Simon,FALSE,217-96-3391
11,Turkmenistan,pwilliams@gmail.com,Angela,411687,Occupational psychologist,Abbott,FALSE,638-49-9216
12,Costa Rica,xflores@carter.biz,Robert,141750,Control and instrumentation engineer,House,TRUE,639-07-5705
13,Albania,amberphillips@hotmail.com,Holly,344920,Maintenance engineer,Hodges,FALSE,144-88-5955
14,Nicaragua,swerner@randall.com,David,95188,"Research officer, political party",Fox,TRUE,783-99-1364
15,United States Virgin Islands,uanderson@leach.net,Calvin,333718,Arboriculturist,Hopkins,FALSE,771-16-4394
16,Falkland Islands (Malvinas),imccoy@gmail.com,James,404292,"Doctor, hospital",Payne,TRUE,026-73-1259
17,Aruba,josephdavis@duarte-simpson.net,Zachary,366990,Rural practice surveyor,Stanley,FALSE,488-61-6413
18,Kenya,kboyle@yahoo.com,Martha,364873,"Designer, ceramics/pottery",Taylor,TRUE,702-67-7925
19,Norfolk Island,xjones@yahoo.com,Dylan,479768,"Engineer, maintenance",Lee,FALSE,548-15-3563
20,San Marino,hdavis@gmail.com,William,48226,"Teacher, music",Hunter,TRUE,832-24-9184
21,Brunei Darussalam,justinhendricks@hotmail.com,Brittany,268363,"Therapist, nutritional",Rogers,FALSE,523-09-2926
22,Kenya,fergusoncarrie@hotmail.com,Audrey,318315,Economist,Ramirez,TRUE,456-53-0712
23,British Indian Ocean Territory (Chagos Archipelago),johnhill@gmail.com,Anna,110907,"Therapist, drama",Padilla,FALSE,097-71-8780
24,Estonia,hayeswilliam@johnson-scott.com,Richard,172155,Biomedical scientist,Weaver,FALSE,315-69-6591
25,Saudi Arabia,jeremyjones@fisher-williams.org,Alexis,80267,"Surveyor, mining",Lane,FALSE,224-50-8852
26,Norfolk Island,daniel32@hotmail.com,Phillip,33642,Management consultant,Garrison,TRUE,122-96-0565
27,Norway,whitneyrenee@reid.com,Catherine,407894,"Conservator, museum/gallery",Carter,TRUE,800-77-8905
28,Cameroon,jthompson@kelley.com,Shannon,173116,Dramatherapist,Smith,FALSE,781-38-1645
29,Haiti,moorestephanie@hicks.com,Elizabeth,119942,Aid worker,Owens,FALSE,767-03-4267
30,Madagascar,brett01@gmail.com,Richard,26530,Health service manager,Warner,FALSE,869-40-6900
31,Eritrea,johnsonphillip@gmail.com,Diana,395796,Theatre director,Li,TRUE,755-02-8619
32,Taiwan,vjordan@johnson.org,Abigail,309637,Youth worker,Edwards,TRUE,675-82-0568
33,Sudan,sanchezmakayla@cole.com,Gregory,240702,Charity fundraiser,Castro,TRUE,887-97-7567
34,Korea,johnwilliams@coffey-decker.org,Lauren,489981,"Research officer, government",Hanson,TRUE,752-41-7180
35,Christmas Island,kayla29@marquez.net,Lisa,98522,Editorial assistant,Ward,FALSE,061-30-4170
